========= 0 ===============
random sharings generation
beaver triples generation
batch_size 1280
         8720994 function calls (8674429 primitive calls) in 37.734 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    23046    0.051    0.000    0.220    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:739(__truediv__)
   115250    0.117    0.000    0.220    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:209(one)
    69120    0.080    0.000    0.218    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:775(__neg__)
        8    0.006    0.001    0.209    0.026 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss.py:291(<listcomp>)
        8    0.006    0.001    0.201    0.025 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss.py:292(<listcomp>)
    90880    0.066    0.000    0.175    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:98(__imul__)
    32000    0.058    0.000    0.169    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:88(__mul__)
   122880    0.154    0.000    0.154    0.000 {method 'add_assign' of 'pypairing.G1' objects}
        9    0.009    0.001    0.148    0.016 /usr/src/HoneyBadgerMPC/honeybadgermpc/poly_commit_const.py:177(batch_verify_eval_zero_knowledge)
    12802    0.010    0.000    0.142    0.000 /usr/local/lib/python3.7/random.py:218(randint)
    69120    0.058    0.000    0.140    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/polynomial.py:58(is_zero)
    12802    0.022    0.000    0.132    0.000 /usr/local/lib/python3.7/random.py:174(randrange)
1014454/968340    0.114    0.000    0.131    0.000 {built-in method builtins.len}
   230400    0.085    0.000    0.130    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/polynomial.py:217(__iter__)
    23040    0.031    0.000    0.114    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/polynomial.py:239(<listcomp>)
    92160    0.035    0.000    0.112    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/polynomial.py:246(degree)
    12802    0.020    0.000    0.110    0.000 /usr/local/lib/python3.7/random.py:224(_randbelow)
   401929    0.103    0.000    0.103    0.000 {method 'mul_assign' of 'pypairing.ZR' objects}
        1    0.000    0.000    0.101    0.101 /usr/src/HoneyBadgerMPC/honeybadgermpc/ipc.py:152(__aenter__)
        1    0.000    0.000    0.101    0.101 /usr/src/HoneyBadgerMPC/honeybadgermpc/ipc.py:48(__aenter__)
        1    0.000    0.000    0.101    0.101 /usr/src/HoneyBadgerMPC/honeybadgermpc/ipc.py:64(_setup)
        4    0.000    0.000    0.101    0.025 /opt/venv/lib/python3.7/site-packages/zmq/sugar/context.py:335(socket)
        4    0.000    0.000    0.100    0.025 /opt/venv/lib/python3.7/site-packages/zmq/_future.py:206(__init__)
        8    0.100    0.012    0.100    0.013 /opt/venv/lib/python3.7/site-packages/zmq/sugar/socket.py:131(__init__)
    23046    0.099    0.000    0.099    0.000 {method 'inverse' of 'pypairing.ZR' objects}
    46080    0.018    0.000    0.096    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:786(__getstate__)
    32000    0.012    0.000    0.096    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:789(__setstate__)
       35    0.000    0.000    0.091    0.003 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:15(pair)
       35    0.090    0.003    0.090    0.003 {method 'py_pairing_with' of 'pypairing.G1' objects}
   407065    0.090    0.000    0.090    0.000 {method 'copy' of 'pypairing.ZR' objects}
    14135    0.022    0.000    0.087    0.000 /usr/local/lib/python3.7/random.py:681(getrandbits)
        1    0.003    0.003    0.078    0.078 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss_random_share.py:85(_handle_dealer_msgs_batch)
    46080    0.077    0.000    0.077    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:637(__int__)
    92160    0.035    0.000    0.077    0.000 {built-in method builtins.abs}
   290560    0.068    0.000    0.068    0.000 {method 'add_assign' of 'pypairing.ZR' objects}
       72    0.001    0.000    0.066    0.001 /usr/src/HoneyBadgerMPC/honeybadgermpc/broadcast/avid.py:124(disperse)
     5122    0.014    0.000    0.066    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:818(hash)
    23040    0.016    0.000    0.063    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/polynomial.py:284(zero)
     5372    0.062    0.000    0.062    0.000 {built-in method _hashlib.openssl_sha256}
    14143    0.060    0.000    0.060    0.000 {built-in method posix.urandom}
   235520    0.060    0.000    0.060    0.000 {method 'equals' of 'pypairing.ZR' objects}
    84484    0.056    0.000    0.056    0.000 {built-in method _struct.pack}
        2    0.010    0.005    0.056    0.028 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss_random_share.py:244(mat_mul)
        7    0.000    0.000    0.055    0.008 /usr/src/HoneyBadgerMPC/honeybadgermpc/optimal_common_set.py:15(optimal_common_set)
      237    0.001    0.000    0.052    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/broadcast/reliablebroadcast.py:73(hash)
    19231    0.010    0.000    0.050    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:215(identity)
       17    0.000    0.000    0.049    0.003 /usr/src/HoneyBadgerMPC/honeybadgermpc/broadcast/avid.py:66(retrieve)
        4    0.000    0.000    0.048    0.012 /usr/src/HoneyBadgerMPC/honeybadgermpc/broadcast/crypto/boldyreva.py:119(verify_signature)
        8    0.048    0.006    0.048    0.006 {built-in method charm.core.math.pairing.pair}
   230488    0.046    0.000    0.046    0.000 {built-in method builtins.iter}
       18    0.003    0.000    0.044    0.002 /usr/src/HoneyBadgerMPC/honeybadgermpc/broadcast/reliablebroadcast.py:18(encode)
    92160    0.032    0.000    0.042    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/polynomial.py:214(__abs__)
     8960    0.011    0.000    0.038    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:641(__add__)
    32000    0.026    0.000    0.037    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:22(dupe_pyg1)
       18    0.036    0.002    0.036    0.002 {method 'encode' of '_fec.Encoder' objects}
       18    0.000    0.000    0.032    0.002 /usr/src/HoneyBadgerMPC/honeybadgermpc/broadcast/reliablebroadcast.py:86(merkle_tree)
       91    0.002    0.000    0.031    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/ipc.py:101(_process_node_messages)
        4    0.000    0.000    0.030    0.008 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss_beaver.py:197(common_subset)
   110090    0.027    0.000    0.027    0.000 {method 'from_repr' of 'PyFq' objects}
       51    0.001    0.000    0.027    0.001 /usr/src/HoneyBadgerMPC/honeybadgermpc/ipc.py:94(_recv_loop)
   115250    0.027    0.000    0.027    0.000 {method 'zero' of 'pypairing.G1' objects}
    55045    0.026    0.000    0.026    0.000 {built-in method _struct.unpack}
        3    0.000    0.000    0.025    0.008 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss_random_share.py:214(common_subset)
        8    0.017    0.002    0.024    0.003 /opt/venv/lib/python3.7/site-packages/Crypto/Cipher/_mode_cbc.py:125(encrypt)
    14082    0.023    0.000    0.023    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/polynomial.py:42(polynomials_over)
        1    0.000    0.000    0.022    0.022 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss_beaver.py:221(beaver_triples_Gen)
        1    0.001    0.001    0.022    0.022 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss_beaver.py:233(degree_reduction)
       37    0.000    0.000    0.022    0.001 /usr/src/HoneyBadgerMPC/honeybadgermpc/broadcast/reliablebroadcast.py:114(merkle_verify)
     1283    0.003    0.000    0.021    0.000 {built-in method _functools.reduce}
    46080    0.017    0.000    0.021    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/polynomial.py:226(__len__)
        2    0.000    0.000    0.019    0.010 /usr/src/HoneyBadgerMPC/honeybadgermpc/poly_commit_const.py:105(verify_eval)
    11520    0.008    0.000    0.018    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:164(__eq__)
       10    0.005    0.001    0.018    0.002 /usr/src/HoneyBadgerMPC/honeybadgermpc/broadcast/reliablebroadcast.py:42(decode)
    69120    0.017    0.000    0.017    0.000 {method 'negate' of 'pypairing.ZR' objects}
    12802    0.014    0.000    0.016    0.000 /usr/local/lib/python3.7/random.py:88(__init__)
      136    0.001    0.000    0.016    0.000 /opt/venv/lib/python3.7/site-packages/zmq/_future.py:551(_handle_recv)
      136    0.000    0.000    0.016    0.000 /opt/venv/lib/python3.7/site-packages/zmq/_future.py:289(recv_multipart)
        3    0.000    0.000    0.016    0.005 /usr/src/HoneyBadgerMPC/scripts/Beaver_triples_batch.py:100(_run)
