========= 0 ===============
random sharings generation
beaver triples generation
batch_size 1280
         8720994 function calls (8674429 primitive calls) in 37.734 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.7/logging/__init__.py:1434(log)
        6    0.000    0.000    0.001    0.000 /opt/venv/lib/python3.7/site-packages/cffi/api.py:834(accessor_function)
      346    0.001    0.000    0.001    0.000 /usr/local/lib/python3.7/asyncio/base_events.py:394(create_future)
        8    0.000    0.000    0.001    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/broadcast/crypto/boldyreva.py:108(hash_message)
        8    0.000    0.000    0.001    0.000 /opt/venv/lib/python3.7/site-packages/Charm_Crypto-0.50-py3.7-linux-x86_64.egg/charm/toolbox/pairinggroup.py:96(hash)
        8    0.001    0.000    0.001    0.000 {built-in method charm.core.math.pairing.H}
       22    0.000    0.000    0.001    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/utils/typecheck.py:205(_check_function_args)
      546    0.000    0.000    0.001    0.000 /usr/local/lib/python3.7/typing.py:661(__hash__)
       13    0.000    0.000    0.001    0.000 /opt/venv/lib/python3.7/site-packages/Crypto/Cipher/_mode_cbc.py:78(__init__)
     1286    0.001    0.000    0.001    0.000 {method 'sub_assign' of 'pypairing.ZR' objects}
        5    0.001    0.000    0.001    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/symmetric_crypto.py:23(unpad)
      186    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      140    0.000    0.000    0.001    0.000 /opt/venv/lib/python3.7/site-packages/zmq/sugar/attrsettr.py:65(_get_attr_opt)
      291    0.000    0.000    0.001    0.000 /opt/venv/lib/python3.7/site-packages/zmq/_future.py:645(_schedule_remaining_events)
      143    0.000    0.000    0.001    0.000 /opt/venv/lib/python3.7/site-packages/zmq/sugar/socket.py:350(__setattr__)
     23/5    0.000    0.000    0.001    0.000 /opt/venv/lib/python3.7/site-packages/cffi/model.py:56(get_cached_btype)
       62    0.000    0.000    0.001    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/utils/typecheck.py:104(_validate_argument)
        3    0.001    0.000    0.001    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss_beaver.py:113(<listcomp>)
        4    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss_beaver.py:367(_setup_avid)
        4    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss_random_share.py:374(_setup_avid)
      694    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/asyncio/queues.py:56(_put)
        3    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss_beaver.py:123(<listcomp>)
       52    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/asyncio/base_events.py:1661(_add_callback)
  827/718    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        3    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss_beaver.py:118(<listcomp>)
        4    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/zmq/sugar/socket.py:239(close)
       22    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/utils/typecheck.py:186(_validate_annotations)
   145/36    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/cffi/model.py:81(__hash__)
        1    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/ipc.py:149(get_send_recv)
       35    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/asyncio/queues.py:32(__init__)
        3    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
       52    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/zmq/_future.py:54(_get_loop)
      675    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/asyncio/queues.py:53(_get)
        4    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/broadcast/crypto/boldyreva.py:31(deserialize1)
       19    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/asyncio/tasks.py:319(create_task)
     1201    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/asyncio/base_events.py:1793(get_debug)
        1    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/ipc.py:114(__init__)
      250    0.000    0.000    0.000    0.000 {method 'digest' of '_hashlib.HASH' objects}
        1    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/ipc.py:18(__init__)
       10    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/broadcast/reliablebroadcast.py:189(broadcast)
        7    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/pycparser/c_parser.py:693(p_decl_body)
      140    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
     1709    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/asyncio/queues.py:96(empty)
       19    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/asyncio/base_events.py:398(create_task)
        7    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/pycparser/c_parser.py:368(_build_declarations)
      135    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/zmq/_future.py:485(<lambda>)
        4    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/zmq/asyncio.py:151(_clear_io_state)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/asyncio/selector_events.py:326(remove_reader)
        4    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/Charm_Crypto-0.50-py3.7-linux-x86_64.egg/charm/toolbox/pairinggroup.py:122(deserialize)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/asyncio/selector_events.py:262(_remove_reader)
        4    0.000    0.000    0.000    0.000 {built-in method charm.core.math.pairing.deserialize}
       18    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/typing.py:707(__instancecheck__)
     1784    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
       44    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/zmq/sugar/attrsettr.py:16(__setattr__)
      189    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/cffi/model.py:68(_get_items)
       18    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/utils/misc.py:94(subscribe)
     1747    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
      279    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/asyncio/base_events.py:631(time)
       18    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/typing.py:710(__subclasscheck__)
      755    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
    27/20    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/abc.py:141(__subclasscheck__)
      694    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/asyncio/locks.py:274(clear)
       18    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
    27/20    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      694    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/asyncio/queues.py:100(full)
       55    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/broadcast/reliablebroadcast.py:82(ceil)
      279    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        3    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/cffi/model.py:242(build_backend_type)
        2    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/cffi/api.py:877(update_accessors)
       13    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:525(__mul__)
        3    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/zmq/sugar/socket.py:304(connect)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/logging/__init__.py:1481(makeRecord)
      432    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      574    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       52    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/Crypto/Util/_raw_api.py:136(c_uint8_ptr)
        1    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss_random_share.py:231(gen_vm_matrix)
      135    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/zmq/_future.py:443(_remove_finished_future)
      577    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/asyncio/base_events.py:478(_check_closed)
        1    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss_beaver.py:222(lagrange_coefficient)
        8    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/logging/__init__.py:1996(debug)
       26    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/pycparser/plyparser.py:55(_token_coord)
       24    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/pycparser/plyparser.py:125(param_rule)
       62    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/utils/typecheck.py:163(_validate_annotation)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/logging/__init__.py:293(__init__)
        6    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss.py:85(_recv_loop)
        1    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/zmq/sugar/context.py:101(__init__)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/logging/__init__.py:869(format)
      189    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/cffi/model.py:69(<listcomp>)
        4    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/zmq/sugar/socket.py:224(shadow)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/logging/__init__.py:606(format)
        5    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/cffi/model.py:589(global_cache)
       51    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/enum.py:850(__invert__)
       55    0.000    0.000    0.000    0.000 {built-in method math.log}
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/enum.py:793(_missing_)
        2    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/cffi/model.py:316(build_backend_type)
       52    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/zmq/asyncio.py:102(_default_loop)
        3    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss_beaver.py:226(<listcomp>)
       22    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/inspect.py:2670(apply_defaults)
        2    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss_random_share.py:162(multicast)
        3    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/utils/misc.py:74(subscribe_recv)
        2    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss_beaver.py:151(multicast)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/enum.py:800(_create_pseudo_member_)
      136    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/typing.py:319(__hash__)
        4    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/broadcast/crypto/boldyreva.py:19(serialize)
      214    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/pycparser/ply/yacc.py:240(__getitem__)
       26    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/Crypto/Util/_raw_api.py:278(__del__)
        1    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/zmq/sugar/socket.py:278(bind)
        2    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/cffi/cparser.py:189(_preprocess)
       11    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:314(__mul__)
        1    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/zmq/asyncio.py:145(_init_io_state)
       10    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:760(__pow__)
       21    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/logging/__init__.py:1619(isEnabledFor)
       11    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/pycparser/c_parser.py:1161(p_direct_xxx_declarator_1)
      285    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/asyncio/selector_events.py:321(add_reader)
       52    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:467(__init__)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/_collections_abc.py:406(__subclasshook__)
       63    0.000    0.000    0.000    0.000 {built-in method math.ceil}
       16    0.000    0.000    0.000    0.000 {method 'cancel' of '_asyncio.Task' objects}
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/asyncio/tasks.py:634(gather)
        1    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/scripts/Beaver_triples_batch.py:138(<listcomp>)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/_collections_abc.py:72(_check_methods)
    22/14    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/cffi/model.py:74(__eq__)
        1    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/scripts/Beaver_triples_batch.py:142(<listcomp>)
        8    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/pycparser/c_parser.py:852(p_type_specifier_no_typeid)
        1    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/scripts/Beaver_triples_batch.py:145(<listcomp>)
        1    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/scripts/Beaver_triples_batch.py:144(<listcomp>)
        1    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/scripts/Beaver_triples_batch.py:143(<listcomp>)
        1    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/scripts/Beaver_triples_batch.py:140(<listcomp>)
        1    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/scripts/Beaver_triples_batch.py:139(<listcomp>)
        1    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/scripts/Beaver_triples_batch.py:141(<listcomp>)
       13    0.000    0.000    0.000    0.000 {method 'mul_assign' of 'pypairing.GT' objects}
       22    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/utils/typecheck.py:147(_validate_defaults)
      279    0.000    0.000    0.000    0.000 {built-in method time.monotonic}
      5/2    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/cffi/cparser.py:597(_get_type_and_quals)
      661    0.000    0.000    0.000    0.000 {method 'done' of '_asyncio.Future' objects}
        6    0.000    0.000    0.000    0.000 {method 'load_function' of '_cffi_backend.CLibrary' objects}
        5    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/enum.py:872(_decompose)
       13    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/asyncio/selector_events.py:247(_add_reader)
        8    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/broadcast/avid.py:30(__init__)
        8    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/Crypto/Random/__init__.py:29(read)
      140    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/selectors.py:365(unregister)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/typing.py:337(__getitem__)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/logging/__init__.py:539(formatTime)
      150    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x7f37bf9aea20}
        4    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/utils/misc.py:52(flatten_lists)
       11    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/pycparser/ast_transforms.py:108(fix_atomic_specifiers)
       13    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/pycparser/c_parser.py:299(_fix_decl_name_type)
       12    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/logging/__init__.py:1361(debug)
      248    0.000    0.000    0.000    0.000 {built-in method builtins.next}
       24    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:28(dupe_pyg2)
       25    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/pycparser/c_lexer.py:545(t_ID)
        2    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss.py:96(__exit__)
        4    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/zmq/_future.py:257(get)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/asyncio/tasks.py:573(ensure_future)
        1    0.000    0.000    0.000    0.000 {method 'unregister' of 'select.epoll' objects}
       32    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/broadcast/reliablebroadcast.py:103(get_merkle_branch)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/base64.py:524(encodebytes)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/base64.py:543(decodebytes)
       23    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/_weakrefset.py:81(add)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/abc.py:137(__instancecheck__)
       52    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/selectors.py:275(_key_from_fd)
      130    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      171    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/pycparser/ply/yacc.py:248(__setitem__)
       22    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/utils/typecheck.py:223(_check_return_value)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/logging/__init__.py:1451(findCaller)
        4    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       76    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/typing.py:652(__eq__)
      230    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/inspect.py:2835(parameters)
       34    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      136    0.000    0.000    0.000    0.000 {method 'add_done_callback' of '_asyncio.Future' objects}
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/weakref.py:165(__setitem__)
        2    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss.py:92(__enter__)
      192    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       26    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/pycparser/plyparser.py:49(_coord)
       13    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:40(dupe_pyfq12)
        8    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/base64.py:508(_input_type_check)
        2    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/pycparser/c_parser.py:1471(p_direct_abstract_declarator_3)
       11    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/pycparser/c_parser.py:902(p_init_declarator)
       71    0.000    0.000    0.000    0.000 {built-in method _asyncio.get_running_loop}
       11    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/pycparser/ast_transforms.py:140(_fix_atomic_specifiers_once)
        2    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/pycparser/c_parser.py:1333(p_parameter_declaration_2)
        1    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/psutil/__init__.py:1567(cpu_count)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/typing.py:600(__init__)
       35    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/asyncio/locks.py:243(__init__)
        2    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/cffi/cparser.py:255(_common_type_names)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/selectors.py:180(get_key)
        4    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/Charm_Crypto-0.50-py3.7-linux-x86_64.egg/charm/toolbox/pairinggroup.py:100(serialize)
       35    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/asyncio/queues.py:50(_init)
       20    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
       11    0.000    0.000    0.000    0.000 {method 'add_assign' of 'pypairing.G2' objects}
       11    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/pycparser/c_parser.py:893(p_init_declarator_list)
        1    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/psutil/_pslinux.py:613(cpu_count_logical)
       36    0.000    0.000    0.000    0.000 {built-in method _asyncio.get_event_loop}
       44    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
      140    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        5    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/pycparser/c_parser.py:779(p_declaration_specifiers_no_type_2)
      120    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/inspect.py:2525(annotation)
       22    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/types.py:164(__get__)
       52    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/pycparser/ply/yacc.py:268(lexpos)
       11    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:559(__eq__)
        1    0.000    0.000    0.000    0.000 {built-in method posix.sysconf}
       19    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/pycparser/plyparser.py:42(optrule)
       52    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/Crypto/Util/py3compat.py:137(byte_string)
      136    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/zmq/_future.py:188(cancel)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/asyncio/coroutines.py:173(iscoroutine)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/enum.py:890(<listcomp>)
        7    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/logging/__init__.py:212(_acquireLock)
        5    0.000    0.000    0.000    0.000 {built-in method time.localtime}
        4    0.000    0.000    0.000    0.000 {built-in method charm.core.math.pairing.serialize}
        4    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/pycparser/c_lexer.py:289(t_PPHASH)
      160    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/inspect.py:2517(name)
       44    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/inspect.py:2609(__init__)
       71    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       24    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:254(__init__)
        1    0.000    0.000    0.000    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/polynomial.py:48(Polynomial)
       44    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
      160    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/inspect.py:2529(kind)
       13    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/Crypto/Util/py3compat.py:162(_copy_bytes)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/logging/__init__.py:1930(getLogger)
       14    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/pycparser/c_parser.py:343(_add_declaration_specifier)
        3    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/zmq/sugar/socket.py:192(__repr__)
      144    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/typing.py:890(cast)
       35    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/asyncio/locks.py:262(set)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/selectors.py:351(register)
        8    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/pycparser/ply/lex.py:263(begin)
        2    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/pycparser/c_parser.py:1227(p_direct_xxx_declarator_6)
        1    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/pycparser/c_parser.py:1827(p_constant_1)
        4    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/zmq/sugar/context.py:290(_add_socket)
        4    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/zmq/sugar/context.py:294(_rm_socket)
        3    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/zmq/sugar/socket.py:264(_connect_cm)
        1    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/zmq/sugar/socket.py:271(_bind_cm)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/logging/__init__.py:1221(getLogger)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       12    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/pycparser/c_parser.py:199(_lex_type_lookup_func)
        5    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/pycparser/c_parser.py:523(p_translation_unit_2)
        8    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/typing.py:701(__setattr__)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/asyncio/tasks.py:664(_done_callback)
       18    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        9    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/pycparser/c_parser.py:868(p_type_specifier)
        2    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/cffi/cparser.py:167(_remove_line_directives)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/typing.py:806(__new__)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/asyncio/selector_events.py:229(_ensure_fd_no_transport)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/selectors.py:69(__getitem__)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/posixpath.py:144(basename)
        5    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/pycparser/c_parser.py:826(p_declaration_specifiers_6)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/typing.py:348(<genexpr>)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/asyncio/base_futures.py:23(isfuture)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/posixpath.py:121(splitext)
       13    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       24    0.000    0.000    0.000    0.000 {method 'copy' of 'pypairing.G2' objects}
       11    0.000    0.000    0.000    0.000 /opt/venv/lib/python3.7/site-packages/pycparser/c_parser.py:1149(p_xxx_declarator_1)
